;Demand;Import limit;Export limit;Import price;Export price;Import emission factor;Export emission factor;Generic production
10-1-2022 23:00;0.000410633;0.001;0.001;200;90;0.25;;
11-1-2022 00:00;0.000374371;0.001;0.001;200;90;0.25;;
11-1-2022 01:00;0.000368119;0.001;0.001;200;90;0.25;;
11-1-2022 02:00;0.000364317;0.001;0.001;200;90;0.25;;
11-1-2022 03:00;0.000362745;0.001;0.001;200;90;0.25;;
11-1-2022 04:00;0.000438504;0.001;0.001;200;90;0.25;;
11-1-2022 05:00;0.000589093;0.001;0.001;200;90;0.25;;
11-1-2022 06:00;0.000718253;0.001;0.001;200;90;0.25;;
11-1-2022 07:00;0.000783781;0.001;0.001;200;90;0.25;;
11-1-2022 08:00;0.000801528;0.001;0.001;200;90;0.25;;
11-1-2022 09:00;0.000819976;0.001;0.001;200;90;0.25;;
11-1-2022 10:00;0.000832592;0.001;0.001;200;90;0.25;;
11-1-2022 11:00;0.000847121;0.001;0.001;200;90;0.25;;
11-1-2022 12:00;0.000841015;0.001;0.001;200;90;0.25;;
11-1-2022 13:00;0.00081609;0.001;0.001;200;90;0.25;;
11-1-2022 14:00;0.000806284;0.001;0.001;200;90;0.25;;
11-1-2022 15:00;0.000830203;0.001;0.001;200;90;0.25;;
11-1-2022 16:00;0.000866442;0.001;0.001;200;90;0.25;;
11-1-2022 17:00;0.000877325;0.001;0.001;200;90;0.25;;
11-1-2022 18:00;0.000846299;0.001;0.001;200;90;0.25;;
11-1-2022 19:00;0.000743625;0.001;0.001;200;90;0.25;;
11-1-2022 20:00;0.000659842;0.001;0.001;200;90;0.25;;
11-1-2022 21:00;0.000596678;0.001;0.001;200;90;0.25;;
11-1-2022 22:00;0.000505716;0.001;0.001;200;90;0.25;;
11-1-2022 23:00;0.000415503;0.001;0.001;200;90;0.25;;
12-1-2022 00:00;0.000360419;0.001;0.001;200;90;0.25;;
12-1-2022 01:00;0.000354136;0.001;0.001;200;90;0.25;;
12-1-2022 02:00;0.000350375;0.001;0.001;200;90;0.25;;
12-1-2022 03:00;0.00034916;0.001;0.001;200;90;0.25;;
12-1-2022 04:00;0.000434098;0.001;0.001;200;90;0.25;;
12-1-2022 05:00;0.0005915;0.001;0.001;200;90;0.25;;
12-1-2022 06:00;0.000722929;0.001;0.001;200;90;0.25;;
12-1-2022 07:00;0.000786747;0.001;0.001;200;90;0.25;;
12-1-2022 08:00;0.000803109;0.001;0.001;200;90;0.25;;
